Plugin,ExecutionResult
lint_python,ERROR
listener,ERROR
listener_http,ERROR
listener_tcp,ERROR
listener_websocket,ERROR
live_capture,ERROR
llm,ERROR
llm-analysis,ERROR
llm-analyzer,ERROR
llm-app-redteam,ERROR
llm-client,ERROR
llm-clienttest,ERROR
llm-clienttest_1,ERROR
llm-client_1,ERROR
llm-redteam,ERROR
llm_analysis,ERROR
llm_api,ERROR
load,ERROR
loader_1,ERROR
local-setup,ERROR
local-source-generator,ERROR
location,ERROR
locations,ERROR
location_1,ERROR
log,ERROR
log-stream,ERROR
logger,ERROR
loggercpython-313,ERROR
logger_1,ERROR
logger_2,ERROR
login-instructions,ERROR
login-instructions_1,ERROR
logo,ERROR
logo_1,ERROR
logs,ERROR
lookup-sid,ERROR
main,ERROR
main_1,ERROR
main_10,ERROR
main_11,ERROR
main_12,ERROR
main_14,ERROR
main_15,ERROR
main_17,ERROR
main_18,ERROR
main_2,ERROR
main_3,ERROR
main_4,ERROR
main_5,ERROR
main_6,ERROR
main_7,ERROR
main_8,ERROR
main_9,ERROR
main_server_http_redirect,ERROR
main_server_http_redirect_test,ERROR
main_server_tls,ERROR
makefile_2,ERROR
makefile_3,ERROR
malicious,ERROR
maltego,ERROR
malware-analyst,ERROR
manager_1,ERROR
manager_2,ERROR
mapcidr,ERROR
mapping,ERROR
markdown,ERROR
markdownrenderer,ERROR
markdown_agents,ERROR
markdown_orchestrator_test,ERROR
markers,ERROR
marketplace,ERROR
masscan,ERROR
masscan_2,ERROR
massdns,ERROR
massdns_tool,ERROR
mass_assignment,ERROR
match,ERROR
mcp,ERROR
mcp-management,ERROR
mcp-stdio2,ERROR
mcp_client,ERROR
mcp_manager,ERROR
mcp_pent_claude_agent,ERROR
mcp_reverse_shell,ERROR
mcp_setup,ERROR
mcp_tools,ERROR
mcp_tools_test,ERROR
memory,ERROR
memory_compressor,ERROR
menu,ERROR
merklemap,ERROR
message-handlers,ERROR
meta,ERROR
meta-cognition,ERROR
metasploit-agent,ERROR
methodology_engine,ERROR
metrics,ERROR
metrics-tracker,ERROR
metrics_1,ERROR
mobile_agent,ERROR
mock_pipelinetest,ERROR
model-registry,ERROR
modelcommand,ERROR
models,ERROR
models_1,ERROR
models_2,ERROR
models_5,ERROR
model_manager,ERROR
modes,ERROR
mods,ERROR
module_import,ERROR
monitor,ERROR
monitor_1,ERROR
mssqlinjection,ERROR
multi_agent,ERROR
multi_agent_eino,ERROR
multi_agent_prepare,ERROR
naabu,ERROR
naabu_tool,ERROR
namelist,ERROR
navigator,ERROR
nbtscan,ERROR
netblock,ERROR
netblock_1,ERROR
netdiscover_tool,ERROR
netexec,ERROR
netlas,ERROR
network-recon,ERROR
networks,ERROR
network_discovery,ERROR
nextjs_rsc_rce,ERROR
next_step_predictor,ERROR
nikto_2,ERROR
nikto_tool,ERROR
nmap-ajp,ERROR
nmap-cassandra,ERROR
nmap-cups,ERROR
nmap-dns,ERROR
nmap-finger,ERROR
nmap-ftp,ERROR
nmap-http,ERROR
nmap-imap,ERROR
nmap-irc,ERROR
nmap-kerberos,ERROR
nmap-ldap,ERROR
nmap-mongodb,ERROR
nmap-mountd,ERROR
nmap-msrpc,ERROR
nmap-mssql,ERROR
nmap-multicast-dns,ERROR
nmap-mysql,ERROR
nmap-nfs,ERROR
nmap-nntp,ERROR
nmap-ntp,ERROR
nmap-oracle,ERROR
nmap-pop3,ERROR
nmap-rdp,ERROR
nmap-redis,ERROR
nmap-rmi,ERROR
nmap-rsync,ERROR
nmap-sip,ERROR
nmap-smb,ERROR
nmap-smtp,ERROR
nmap-snmp,ERROR
nmap-ssh,ERROR
nmap-telnet,ERROR
nmap-tftp,ERROR
nmap-vnc,ERROR
